ID,Image,Mask
001_hn_sub_001_SVmask1,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask1.nii.gz
001_hn_sub_001_SVmask10,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask10.nii.gz
001_hn_sub_001_SVmask100,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask100.nii.gz
001_hn_sub_001_SVmask11,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask11.nii.gz
001_hn_sub_001_SVmask12,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask12.nii.gz
001_hn_sub_001_SVmask13,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask13.nii.gz
001_hn_sub_001_SVmask14,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask14.nii.gz
001_hn_sub_001_SVmask15,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask15.nii.gz
001_hn_sub_001_SVmask16,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask16.nii.gz
001_hn_sub_001_SVmask17,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask17.nii.gz
001_hn_sub_001_SVmask18,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask18.nii.gz
001_hn_sub_001_SVmask19,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask19.nii.gz
001_hn_sub_001_SVmask2,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask2.nii.gz
001_hn_sub_001_SVmask20,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask20.nii.gz
001_hn_sub_001_SVmask21,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask21.nii.gz
001_hn_sub_001_SVmask22,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask22.nii.gz
001_hn_sub_001_SVmask23,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask23.nii.gz
001_hn_sub_001_SVmask24,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask24.nii.gz
001_hn_sub_001_SVmask25,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask25.nii.gz
001_hn_sub_001_SVmask26,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask26.nii.gz
001_hn_sub_001_SVmask27,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask27.nii.gz
001_hn_sub_001_SVmask28,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask28.nii.gz
001_hn_sub_001_SVmask29,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask29.nii.gz
001_hn_sub_001_SVmask3,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask3.nii.gz
001_hn_sub_001_SVmask30,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask30.nii.gz
001_hn_sub_001_SVmask31,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask31.nii.gz
001_hn_sub_001_SVmask32,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask32.nii.gz
001_hn_sub_001_SVmask33,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask33.nii.gz
001_hn_sub_001_SVmask34,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask34.nii.gz
001_hn_sub_001_SVmask35,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask35.nii.gz
001_hn_sub_001_SVmask36,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask36.nii.gz
001_hn_sub_001_SVmask37,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask37.nii.gz
001_hn_sub_001_SVmask38,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask38.nii.gz
001_hn_sub_001_SVmask39,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask39.nii.gz
001_hn_sub_001_SVmask4,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask4.nii.gz
001_hn_sub_001_SVmask40,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask40.nii.gz
001_hn_sub_001_SVmask41,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask41.nii.gz
001_hn_sub_001_SVmask42,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask42.nii.gz
